b,orig_rate,orig_n,orig_lift,dest_rate,dest_n,dest_lift
0-20,0.1930244142981353,4368178,0.82024211353367,0.21686135961757388,4213729,0.9215353436159732
20-35,0.24930502103702099,4503014,1.059402138913459,0.23620315269825723,4614460,1.0037267767241522
35-50,0.28284683817058975,1648903,1.2019354608118178,0.2588713770066759,1680827,1.1000536185094314
50-65,0.3354897354841128,320132,1.4256373252209837,0.30869492984549396,331055,1.3117748996378746
65+,0.46610854970476423,49452,1.9806917344426462,0.43476595573116156,49606,1.8475038389216811
