load_bin,rate,k,n,ci_low,ci_high,lift
quietest 20%,0.23364636942865466,500478,2142032,0.23308016828826544,0.23421352594438105,0.9928619266971129
20-40%,0.24752159000611704,538580,2175891,0.24694859202333455,0.24809547950354563,1.0518235885862928
40-60%,0.24848918996218342,562995,2265672,0.24792691413444745,0.24905231869562644,1.055935328730175
60-80%,0.23983962349994742,508702,2121009,0.23926545232875968,0.24041473708136746,1.0191796742605996
busiest 20%,0.206799088548877,451874,2185087,0.20626258776449385,0.20733662028410205,0.8787765116912784
