snow_bucket,disruption_rate,n_disrupted,n_flights,ci_low,ci_high,lift_vs_base
0 (none),0.23203137454785433,2501937,10782753,0.23177950729542882,0.2322834327399971,0.9859991325827494
0-0.5,0.5340656378462161,47550,89034,0.530787529849802,0.5373408062710502,2.269470051990826
0.5-1,0.711861280206604,7718,10842,0.7032623109413813,0.7203101668274258,3.0249986932616206
1-2,0.7793829142143749,4370,5607,0.768339758420559,0.7900434973106311,3.3119265826126414
2-4,0.7434257285003554,1046,1407,0.7199633712146578,0.7655624312567182,3.1591293413204813
4+,0.16666666666666666,6,36,0.07870340628564097,0.3189111473467432,0.7082369316822685
