dow,rate,k,n,ci_low,ci_high,lift
0,0.2413335455513792,394228,1633540,0.24067797059461737,0.2419903371183429,1.0255279788798708
1,0.1981236214001533,300631,1517391,0.19749018173999983,0.19875858958572973,0.841910794285344
2,0.21058914966818265,319453,1516949,0.20994103924757485,0.21123872592304999,0.8948820792394302
3,0.24559969615841465,395751,1611366,0.24493568255582135,0.24626492277143178,1.0436566513759982
4,0.2536478792344671,412035,1624437,0.2529793606564099,0.25431756299660835,1.0778567743004013
5,0.2238416594561276,309402,1382236,0.22314754626142858,0.22453730768092656,0.9511975804552504
6,0.268821877423973,431129,1603772,0.2681362666235974,0.2695085957280941,1.1423374898149292
