inbound_bucket,rate,k,n,ci_low,ci_high,lift
on-time (0),0.1319912214189801,613272,4646309,0.13168374835069885,0.13229930303109905,0.5608863460006402
1-15,0.21182427784293043,258651,1221064,0.21110043833678233,0.21254993060763228,0.9001306595717363
15-30,0.38448923045240524,205373,534145,0.3831854385029853,0.3857946839093966,1.6338568370429287
30-60,0.6165425423603981,284617,461634,0.6151389345556274,0.6179442105068894,2.6199491907174806
60-120,0.7309673745123196,223331,305528,0.7293920088615583,0.7325369320334846,3.1061885429066933
120+,0.7581910337885728,127298,167897,0.7561369989522883,0.7602332537147479,3.2218733483965556
