dep_hour_local,rate,k,n,ci_low,ci_high,lift
0,0.19648232707593438,5809.0,29565.0,0.19199262969365297,0.20105089082086056,0.83493624274831
1,0.2372313703600335,850.0,3583.0,0.22358857299499377,0.2514370317041377,1.00809610705542
2,0.45454545454545453,5.0,11.0,0.21270957543988045,0.7199122443100118,1.9315552682243686
3,,,,,,
4,1.0,2.0,2.0,0.34237195288961925,1.0,4.249421590093611
5,0.09349843668208763,26435.0,282732.0,0.09243081630702299,0.09457710352651252,0.3973142754768636
6,0.10843737556225057,84691.0,781013.0,0.1077497083135331,0.10912889478162456,0.4607961248873169
7,0.1402232314001823,121070.0,863409.0,0.13949242818248136,0.14095723614180705,0.595867626944627
8,0.15895961191219668,123600.0,777556.0,0.15814857503789373,0.15977401866412141,0.6754864068125901
9,0.17371690437400558,109401.0,629766.0,0.17278316245031392,0.17465462695557363,0.7381963640111265
10,0.1892443076437394,119891.0,633525.0,0.1882816300701796,0.19021075394569595,0.8041788467036236
11,0.20725075528700906,132741.0,640485.0,0.2062598136320136,0.20824520871434296,0.880695834079824
12,0.21965785131695847,131532.0,598804.0,0.2186110039144666,0.22070829574114434,0.9334188158198556
13,0.24534562391343834,151286.0,616624.0,0.24427320075830922,0.2464212200691528,1.0425769912927523
14,0.2707291135300577,156564.0,578305.0,0.26958541776305356,0.27187585530630154,1.1504421401015315
15,0.2876918226298572,172456.0,599447.0,0.28654720248549503,0.28883916394178666,1.2225238423766969
16,0.30676162747001023,187751.0,612042.0,0.30560751010010767,0.30791817062073334,1.3035594827833148
17,0.31694590119692784,217268.0,685505.0,0.3158454641938714,0.3180483898748374,1.3468367554379017
18,0.3296524428756102,223387.0,677644.0,0.32853414501065,0.33077267214840583,1.4008322079827187
19,0.33595930026287174,203591.0,605999.0,0.3347711273149629,0.33714955299889,1.4276327039297894
20,0.3404152253307954,169361.0,497513.0,0.3390997414074937,0.34173317373698114,1.4465678081172635
21,0.31509454615110966,115145.0,365430.0,0.313590272050479,0.3166027078653691,1.338969567335273
22,0.2913106928379745,78050.0,267927.0,0.2895931975094737,0.29303417255287595,1.237901947570817
23,0.2222836895325061,31743.0,142804.0,0.22013467220609675,0.22444764826502225,0.9445771094250967
