bucket,orig_rate,orig_n,orig_lift,dest_rate,dest_n,dest_lift
0 (none),0.23203137454785433,10782753,0.9859991325827494,0.23372401501385145,10785507,0.9931918755232236
0-0.5,0.5340656378462161,89034,2.269470051990826,0.370923270382206,86681,1.5762093534302763
0.5-1,0.711861280206604,10842,3.0249986932616206,0.5142169121052144,10797,2.1851244482911665
1-2,0.7793829142143749,5607,3.3119265826126414,0.6028184683849435,5393,2.5616298144621417
2+,0.729036729036729,1443,3.097984416339902,0.6451116243264049,1299,2.741351264432984
